Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,36763553.44696204 
 01/01  02:00:00,,,5325035.6500713,36763553.44696204 
 01/01  03:00:00,,,5325035.6500713,36763553.44696204 
 01/01  04:00:00,,,5325035.6500713,36763553.44696204 
 01/01  05:00:00,,,5325035.6500713,36763553.44696204 
 01/01  06:00:00,,,5325035.6500713,36763553.44696204 
 01/01  07:00:00,,,5325035.6500713,36763553.44696204 
 01/01  08:00:00,,,5325035.6500713,36763553.44696204 
 01/01  09:00:00,,,5325035.6500713,36763553.44696204 
 01/01  10:00:00,,,5325035.6500713,36763553.44696204 
 01/01  11:00:00,,,5325035.6500713,36763553.44696204 
 01/01  12:00:00,,,5325035.6500713,36763553.44696204 
 01/01  13:00:00,,,5325035.6500713,36763553.44696204 
 01/01  14:00:00,,,5325035.6500713,36763553.44696204 
 01/01  15:00:00,,,5325035.6500713,36763553.44696204 
 01/01  16:00:00,,,5325035.6500713,36763553.44696204 
 01/01  17:00:00,,,5325035.6500713,36763553.44696204 
 01/01  18:00:00,,,5325035.6500713,36763553.44696204 
 01/01  19:00:00,,,5325035.6500713,36763553.44696204 
 01/01  20:00:00,,,5325035.6500713,36763553.44696204 
 01/01  21:00:00,,,5325035.6500713,36763553.44696204 
 01/01  22:00:00,,,5325035.6500713,36763553.44696204 
 01/01  23:00:00,,,5325035.6500713,36763553.44696204 
 01/01  24:00:00,,,5325035.6500713,36763553.44696204 
 01/02  01:00:00,,,5325035.6500713,36763553.44696204 
 01/02  02:00:00,,,5325035.6500713,36763553.44696204 
 01/02  03:00:00,,,5325035.6500713,36763553.44696204 
 01/02  04:00:00,,,5325035.6500713,36763553.44696204 
 01/02  05:00:00,,,5325035.6500713,36763553.44696204 
 01/02  06:00:00,,,5325035.6500713,36763553.44696204 
 01/02  07:00:00,,,5325035.6500713,36763553.44696204 
 01/02  08:00:00,,,5325035.6500713,36763553.44696204 
 01/02  09:00:00,,,70935158.99502023,104647718.22248563 
 01/02  10:00:00,,,73540519.07958068,104647718.22248563 
 01/02  11:00:00,,,68820094.09446603,105482342.22248563 
 01/02  12:00:00,,,67239736.48776825,105482342.22248563 
 01/02  13:00:00,,,67876734.19428498,105482342.22248563 
 01/02  14:00:00,,,68673176.39656566,104647718.22248563 
 01/02  15:00:00,,,71431694.89375457,104647718.22248563 
