Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,22333906.210397545,22333906.21039754 
 01/01  02:00:00,,,22186634.099976357,22186634.099976353 
 01/01  03:00:00,,,22339527.46805918,22339527.46805918 
 01/01  04:00:00,,,21996124.234108552,21996124.234108552 
 01/01  05:00:00,,,22301199.273869656,22301199.273869652 
 01/01  06:00:00,,,22133546.019539673,22133546.019539673 
 01/01  07:00:00,,,33167501.932453923,33167501.932453915 
 01/01  08:00:00,,,38674235.887877055,38674235.887877055 
 01/01  09:00:00,,,20511308.05947702,20511308.05947702 
 01/01  10:00:00,,,70492114.88385534,70492114.88385534 
 01/01  11:00:00,,,159543935.0368011,159543935.0368011 
 01/01  12:00:00,,,208682196.21580744,208682196.2158074 
 01/01  13:00:00,,,207355697.51289728,207355697.51289725 
 01/01  14:00:00,,,210882841.03273496,210882841.03273496 
 01/01  15:00:00,,,206956554.83628392,206956554.83628392 
 01/01  16:00:00,,,210709315.2525255,210709315.2525255 
 01/01  17:00:00,,,213675122.91016287,213675122.91016287 
 01/01  18:00:00,,,168262006.6220648,168262006.62206483 
 01/01  19:00:00,,,81348681.34414738,81348681.34414738 
 01/01  20:00:00,,,79138154.02863732,79138154.0286373 
 01/01  21:00:00,,,78170155.96956727,78170155.96956725 
 01/01  22:00:00,,,83747740.90169612,83747740.90169612 
 01/01  23:00:00,,,74980467.43409167,74980467.43409169 
 01/01  24:00:00,,,57901710.10920349,57901710.10920349 
 01/02  01:00:00,,,22446092.202827644,22446092.20282764 
 01/02  02:00:00,,,25193462.294391517,25193462.294391513 
 01/02  03:00:00,,,22653825.95773329,22653825.95773328 
 01/02  04:00:00,,,22678262.923693396,22678262.923693392 
 01/02  05:00:00,,,22702602.774577696,22702602.774577696 
 01/02  06:00:00,,,25270127.495886914,25270127.495886914 
 01/02  07:00:00,,,33503826.825503938,33503826.825503938 
 01/02  08:00:00,,,37709844.91965395,37709844.91965396 
 01/02  09:00:00,,,50269089.028160185,50269089.0281602 
 01/02  10:00:00,,,138990103.90812707,138990103.90812704 
 01/02  11:00:00,,,202623207.68050632,202623207.68050626 
 01/02  12:00:00,,,211077945.0751219,211077945.07512188 
 01/02  13:00:00,,,208637138.03682774,208637138.03682774 
 01/02  14:00:00,,,213533617.20724827,213533617.20724824 
 01/02  15:00:00,,,209709474.90384418,209709474.90384418 
 01/02  16:00:00,,,213499711.71140993,213499711.71140987 
 01/02  17:00:00,,,215084420.64154994,215084420.64155 
 01/02  18:00:00,,,229611725.59451455,229611725.59451455 
 01/02  19:00:00,,,230672556.4403351,230672556.4403351 
 01/02  20:00:00,,,225821078.7192424,225821078.71924233 
 01/02  21:00:00,,,163941259.182629,163941259.182629 
 01/02  22:00:00,,,79760146.7964946,79760146.7964946 
 01/02  23:00:00,,,79432547.90347166,79432547.90347166 
 01/02  24:00:00,,,53602698.63288084,53602698.63288082 
 01/03  01:00:00,,,22555813.16181013,22555813.161810126 
 01/03  02:00:00,,,25031416.228493582,25031416.228493575 
 01/03  03:00:00,,,24988849.21573595,24988849.21573595 
 01/03  04:00:00,,,22664374.289458655,22664374.28945865 
 01/03  05:00:00,,,22871408.63653341,22871408.63653341 
 01/03  06:00:00,,,22971096.56862169,22971096.56862169 
 01/03  07:00:00,,,37570163.723453596,37570163.723453596 
 01/03  08:00:00,,,34073970.547280565,34073970.54728056 
 01/03  09:00:00,,,50620893.78461677,50620893.78461676 
 01/03  10:00:00,,,139747581.61643532,139747581.61643532 
 01/03  11:00:00,,,209617618.87073696,209617618.87073693 
 01/03  12:00:00,,,205728587.70854518,205728587.70854518 
 01/03  13:00:00,,,212850099.27536327,212850099.2753632 
 01/03  14:00:00,,,215316018.40783972,215316018.40783972 
 01/03  15:00:00,,,215465712.99071655,215465712.99071655 
 01/03  16:00:00,,,209182313.3649112,209182313.36491117 
 01/03  17:00:00,,,219823119.36871856,219823119.36871856 
 01/03  18:00:00,,,235718754.3398156,235718754.33981553 
 01/03  19:00:00,,,225600446.9697114,225600446.9697114 
 01/03  20:00:00,,,229524637.43364477,229524637.43364477 
 01/03  21:00:00,,,162619242.73124886,162619242.73124886 
 01/03  22:00:00,,,82895095.88945064,82895095.88945062 
 01/03  23:00:00,,,80617788.00131744,80617788.00131744 
 01/03  24:00:00,,,54216858.622784175,54216858.622784175 
 01/04  01:00:00,,,23233635.202226087,23233635.202226087 
 01/04  02:00:00,,,22714358.016168386,22714358.016168382 
 01/04  03:00:00,,,23191526.395305894,23191526.39530589 
 01/04  04:00:00,,,25478011.80665054,25478011.80665054 
 01/04  05:00:00,,,23370232.893307406,23370232.893307403 
 01/04  06:00:00,,,29379167.15023159,29379167.15023159 
 01/04  07:00:00,,,34424243.99326529,34424243.993265286 
 01/04  08:00:00,,,34672575.50389934,34672575.50389934 
 01/04  09:00:00,,,49137641.61824181,49137641.61824181 
 01/04  10:00:00,,,140562250.36659786,140562250.36659786 
 01/04  11:00:00,,,209817066.34690934,209817066.34690934 
 01/04  12:00:00,,,206522203.49354568,206522203.49354568 
 01/04  13:00:00,,,211224179.94457734,211224179.9445773 
 01/04  14:00:00,,,214676249.05029717,214676249.05029714 
 01/04  15:00:00,,,214719057.35010538,214719057.35010532 
 01/04  16:00:00,,,209931007.7637442,209931007.7637442 
 01/04  17:00:00,,,218257652.5529318,218257652.55293176 
 01/04  18:00:00,,,235432521.09896123,235432521.09896126 
 01/04  19:00:00,,,226683908.3991977,226683908.39919767 
 01/04  20:00:00,,,228102548.4721985,228102548.4721985 
 01/04  21:00:00,,,168845011.3661181,168845011.3661181 
 01/04  22:00:00,,,79275406.6365075,79275406.63650748 
 01/04  23:00:00,,,78114404.8591446,78114404.8591446 
 01/04  24:00:00,,,54260044.84219156,54260044.84219156 
 01/05  01:00:00,,,22988963.09819937,22988963.09819937 
 01/05  02:00:00,,,22744327.86876804,22744327.86876804 
 01/05  03:00:00,,,25610258.595664386,25610258.595664382 
 01/05  04:00:00,,,22911505.017544523,22911505.017544515 
 01/05  05:00:00,,,28213668.60857847,28213668.608578466 
 01/05  06:00:00,,,24193430.98475146,24193430.984751455 
 01/05  07:00:00,,,33972168.98113869,33972168.981138684 
 01/05  08:00:00,,,34066418.39594492,34066418.395944916 
 01/05  09:00:00,,,50983890.24939123,50983890.24939122 
 01/05  10:00:00,,,137289912.65866366,137289912.65866366 
 01/05  11:00:00,,,209315743.27081093,209315743.2708109 
 01/05  12:00:00,,,204744035.7544335,204744035.7544335 
 01/05  13:00:00,,,213798839.86164173,213798839.86164173 
 01/05  14:00:00,,,213445277.80348474,213445277.80348474 
 01/05  15:00:00,,,213022283.90111598,213022283.90111595 
 01/05  16:00:00,,,209404450.01586783,209404450.01586783 
 01/05  17:00:00,,,217276868.104978,217276868.104978 
 01/05  18:00:00,,,234495260.45855933,234495260.45855933 
 01/05  19:00:00,,,226617265.31687045,226617265.31687045 
 01/05  20:00:00,,,227896430.37752938,227896430.3775294 
 01/05  21:00:00,,,165923248.01500347,165923248.0150035 
 01/05  22:00:00,,,78589903.885789,78589903.88578898 
 01/05  23:00:00,,,76949819.36551253,76949819.36551253 
 01/05  24:00:00,,,56569347.56839244,56569347.56839244 
 01/06  01:00:00,,,36620434.23350536,36620434.23350536 
 01/06  02:00:00,,,22637033.177682668,22637033.177682668 
 01/06  03:00:00,,,22517607.978560023,22517607.978560016 
 01/06  04:00:00,,,26453413.602450974,26453413.60245097 
 01/06  05:00:00,,,24379508.557373863,24379508.557373863 
 01/06  06:00:00,,,25835988.792504646,25835988.792504642 
 01/06  07:00:00,,,34771593.06087965,34771593.06087965 
 01/06  08:00:00,,,34397020.70015006,34397020.70015006 
 01/06  09:00:00,,,48109580.18140923,48109580.18140923 
 01/06  10:00:00,,,139323001.57579705,139323001.57579705 
 01/06  11:00:00,,,208030441.44400954,208030441.44400954 
 01/06  12:00:00,,,208481920.03038448,208481920.03038448 
 01/06  13:00:00,,,207546008.72842383,207546008.72842383 
 01/06  14:00:00,,,213341708.47254843,213341708.47254843 
 01/06  15:00:00,,,213153355.34974772,213153355.34974766 
 01/06  16:00:00,,,210550460.083866,210550460.08386594 
 01/06  17:00:00,,,213977436.0483024,213977436.04830235 
 01/06  18:00:00,,,233964087.2028458,233964087.20284578 
 01/06  19:00:00,,,228291485.67409462,228291485.67409462 
 01/06  20:00:00,,,224573132.49032843,224573132.4903284 
 01/06  21:00:00,,,167741627.77255994,167741627.77255994 
 01/06  22:00:00,,,77997586.28409003,77997586.28409003 
 01/06  23:00:00,,,74417229.80044289,74417229.80044289 
 01/06  24:00:00,,,66262715.57307815,66262715.573078156 
 01/07  01:00:00,,,47276681.244703375,47276681.244703375 
 01/07  02:00:00,,,22216768.27978809,22216768.27978809 
 01/07  03:00:00,,,28824929.031275287,28824929.031275287 
 01/07  04:00:00,,,22542088.693207566,22542088.693207562 
 01/07  05:00:00,,,24069108.476919178,24069108.476919178 
 01/07  06:00:00,,,23972819.561609704,23972819.561609704 
 01/07  07:00:00,,,33760489.82101519,33760489.82101519 
 01/07  08:00:00,,,33680605.95147858,33680605.95147858 
 01/07  09:00:00,,,49134081.21370603,49134081.21370603 
 01/07  10:00:00,,,137752812.1598472,137752812.1598472 
 01/07  11:00:00,,,204618760.3581875,204618760.3581875 
 01/07  12:00:00,,,208168512.2259491,208168512.22594905 
 01/07  13:00:00,,,213651829.44339085,213651829.44339085 
 01/07  14:00:00,,,209648752.6663673,209648752.6663673 
 01/07  15:00:00,,,211119872.68035492,211119872.6803549 
 01/07  16:00:00,,,211343409.66745955,211343409.66745955 
 01/07  17:00:00,,,217466238.0906709,217466238.09067094 
 01/07  18:00:00,,,230325086.68895012,230325086.68895012 
 01/07  19:00:00,,,163334488.31615275,163334488.3161528 
 01/07  20:00:00,,,81961914.95944221,81961914.95944218 
 01/07  21:00:00,,,81333479.98647703,81333479.98647702 
 01/07  22:00:00,,,79010052.73244768,79010052.73244768 
 01/07  23:00:00,,,78717754.14852397,78717754.14852397 
 01/07  24:00:00,,,80171309.6427806,80171309.6427806 
 01/08  01:00:00,,,22906959.70829045,22906959.70829045 
 01/08  02:00:00,,,22980954.45280558,22980954.45280558 
 01/08  03:00:00,,,23322251.58698357,23322251.58698356 
 01/08  04:00:00,,,23289281.150668517,23289281.150668517 
 01/08  05:00:00,,,23491851.868600562,23491851.868600562 
 01/08  06:00:00,,,27013137.434023302,27013137.4340233 
 01/08  07:00:00,,,35555677.06916056,35555677.06916056 
 01/08  08:00:00,,,34746159.68643692,34746159.686436914 
 01/08  09:00:00,,,20856597.724458363,20856597.72445836 
 01/08  10:00:00,,,70944159.73623915,70944159.73623914 
 01/08  11:00:00,,,160115622.24902415,160115622.24902415 
 01/08  12:00:00,,,208986831.28940454,208986831.28940448 
 01/08  13:00:00,,,208370455.27196518,208370455.27196518 
 01/08  14:00:00,,,211780512.71014237,211780512.7101423 
 01/08  15:00:00,,,210804316.85241002,210804316.85241 
 01/08  16:00:00,,,210135768.1414653,210135768.1414653 
 01/08  17:00:00,,,213949773.5487532,213949773.54875314 
 01/08  18:00:00,,,168471588.81316668,168471588.81316665 
 01/08  19:00:00,,,81047793.16415572,81047793.1641557 
 01/08  20:00:00,,,80112687.70046054,80112687.70046054 
 01/08  21:00:00,,,83553314.54210463,83553314.54210463 
 01/08  22:00:00,,,79238550.01112759,79238550.01112759 
 01/08  23:00:00,,,75412644.57402378,75412644.57402378 
 01/08  24:00:00,,,60718665.471252084,60718665.47125208 
 01/09  01:00:00,,,23448739.62811284,23448739.62811284 
 01/09  02:00:00,,,23358591.49659949,23358591.496599488 
 01/09  03:00:00,,,24031890.333209984,24031890.333209984 
 01/09  04:00:00,,,25701580.213127483,25701580.21312748 
 01/09  05:00:00,,,23547764.562423605,23547764.562423605 
 01/09  06:00:00,,,23222784.452614345,23222784.45261434 
 01/09  07:00:00,,,39513133.069389544,39513133.069389544 
 01/09  08:00:00,,,35295165.759967,35295165.759967 
 01/09  09:00:00,,,48693518.28088839,48693518.28088839 
 01/09  10:00:00,,,140519266.8368764,140519266.83687642 
 01/09  11:00:00,,,208682319.25162002,208682319.25162002 
 01/09  12:00:00,,,207526363.27048033,207526363.27048033 
 01/09  13:00:00,,,215717748.86101937,215717748.86101937 
 01/09  14:00:00,,,213816683.85292378,213816683.8529237 
 01/09  15:00:00,,,211521774.57258427,211521774.5725842 
 01/09  16:00:00,,,211354152.54518712,211354152.54518712 
 01/09  17:00:00,,,218776414.3262324,218776414.32623234 
 01/09  18:00:00,,,231775689.08171743,231775689.0817175 
 01/09  19:00:00,,,226956227.57049164,226956227.57049164 
 01/09  20:00:00,,,232289792.52592367,232289792.52592367 
 01/09  21:00:00,,,160412315.0070421,160412315.0070421 
 01/09  22:00:00,,,84505965.08167264,84505965.08167264 
 01/09  23:00:00,,,77101778.92238376,77101778.92238377 
 01/09  24:00:00,,,58276823.954983145,58276823.954983145 
 01/10  01:00:00,,,24406919.12978206,24406919.12978206 
 01/10  02:00:00,,,23042224.18026511,23042224.180265106 
 01/10  03:00:00,,,23242924.835835412,23242924.835835412 
 01/10  04:00:00,,,23232254.18891319,23232254.18891319 
 01/10  05:00:00,,,23747642.355880596,23747642.355880596 
 01/10  06:00:00,,,27580894.3687209,27580894.368720897 
 01/10  07:00:00,,,36263795.29790802,36263795.29790802 
 01/10  08:00:00,,,38690158.71851812,38690158.71851812 
 01/10  09:00:00,,,48887557.668707594,48887557.668707594 
 01/10  10:00:00,,,137477627.6010142,137477627.6010142 
 01/10  11:00:00,,,210569237.68088645,210569237.68088642 
 01/10  12:00:00,,,203487201.78124022,203487201.78124017 
 01/10  13:00:00,,,213749800.67017758,213749800.67017752 
 01/10  14:00:00,,,211963001.77543968,211963001.77543968 
 01/10  15:00:00,,,211818164.65405294,211818164.65405294 
 01/10  16:00:00,,,209245996.8329802,209245996.8329802 
 01/10  17:00:00,,,214108271.3420295,214108271.34202948 
 01/10  18:00:00,,,230892479.72700715,230892479.72700706 
 01/10  19:00:00,,,226798882.16648477,226798882.1664847 
 01/10  20:00:00,,,228013502.4821205,228013502.48212048 
 01/10  21:00:00,,,164884089.86299285,164884089.86299285 
 01/10  22:00:00,,,80715571.39987783,80715571.39987783 
 01/10  23:00:00,,,73887004.04693723,73887004.04693724 
 01/10  24:00:00,,,53530746.7550582,53530746.7550582 
 01/11  01:00:00,,,23012053.641920246,23012053.641920242 
 01/11  02:00:00,,,23391599.1881006,23391599.188100595 
 01/11  03:00:00,,,22082152.535472605,22082152.53547261 
 01/11  04:00:00,,,24525985.8172593,24525985.817259297 
 01/11  05:00:00,,,26048710.112230327,26048710.11223032 
 01/11  06:00:00,,,22343790.37483413,22343790.374834128 
 01/11  07:00:00,,,33017751.663122483,33017751.66312248 
 01/11  08:00:00,,,34237091.02855484,34237091.028554834 
 01/11  09:00:00,,,48151138.41564099,48151138.415640995 
 01/11  10:00:00,,,137389880.66803002,137389880.66803 
 01/11  11:00:00,,,204820802.53336856,204820802.5333685 
 01/11  12:00:00,,,205757656.7884334,205757656.78843337 
 01/11  13:00:00,,,209437829.501534,209437829.501534 
 01/11  14:00:00,,,209146435.6467212,209146435.64672115 
 01/11  15:00:00,,,207666408.91330427,207666408.91330424 
 01/11  16:00:00,,,209813455.79976597,209813455.79976597 
 01/11  17:00:00,,,208273160.88529852,208273160.88529852 
 01/11  18:00:00,,,225376029.1533894,225376029.1533894 
 01/11  19:00:00,,,229324204.20434758,229324204.2043476 
 01/11  20:00:00,,,225698144.63971385,225698144.63971385 
 01/11  21:00:00,,,161851791.90589872,161851791.90589872 
 01/11  22:00:00,,,81082588.00152963,81082588.00152963 
 01/11  23:00:00,,,74249925.27857694,74249925.27857694 
 01/11  24:00:00,,,56369345.47420911,56369345.4742091 
 01/12  01:00:00,,,23686110.67895911,23686110.6789591 
 01/12  02:00:00,,,23268857.85677877,23268857.85677877 
 01/12  03:00:00,,,28027042.86747472,28027042.867474716 
 01/12  04:00:00,,,23684192.413973294,23684192.413973294 
 01/12  05:00:00,,,23308431.516491868,23308431.516491864 
 01/12  06:00:00,,,24283801.48411462,24283801.484114617 
 01/12  07:00:00,,,36722998.61775609,36722998.61775609 
 01/12  08:00:00,,,36548215.14430405,36548215.14430405 
 01/12  09:00:00,,,50049430.46048162,50049430.460481614 
 01/12  10:00:00,,,141744907.35460564,141744907.35460564 
 01/12  11:00:00,,,206248393.23705631,206248393.23705631 
 01/12  12:00:00,,,209299498.53642994,209299498.5364299 
 01/12  13:00:00,,,209978440.72343007,209978440.72343007 
 01/12  14:00:00,,,213660913.98774508,213660913.98774505 
 01/12  15:00:00,,,214294921.5116776,214294921.51167753 
 01/12  16:00:00,,,214275804.95005426,214275804.95005426 
 01/12  17:00:00,,,210463773.65574533,210463773.65574527 
 01/12  18:00:00,,,233976277.66992444,233976277.66992444 
 01/12  19:00:00,,,231621102.5070935,231621102.50709352 
 01/12  20:00:00,,,224116921.6533243,224116921.6533243 
 01/12  21:00:00,,,167393009.3520879,167393009.3520879 
 01/12  22:00:00,,,80608427.16818294,80608427.16818294 
 01/12  23:00:00,,,76814167.54915223,76814167.54915223 
 01/12  24:00:00,,,54281529.75794142,54281529.75794142 
 01/13  01:00:00,,,38321292.29470592,38321292.29470592 
 01/13  02:00:00,,,27650594.776221626,27650594.776221626 
 01/13  03:00:00,,,25488769.40481852,25488769.40481852 
 01/13  04:00:00,,,22602671.57620461,22602671.57620461 
 01/13  05:00:00,,,23192013.86463208,23192013.86463208 
 01/13  06:00:00,,,22824545.264789727,22824545.264789727 
 01/13  07:00:00,,,34239796.71363327,34239796.71363327 
 01/13  08:00:00,,,32147623.35828811,32147623.35828811 
 01/13  09:00:00,,,53953519.15960246,53953519.15960248 
 01/13  10:00:00,,,136509018.3129257,136509018.3129257 
 01/13  11:00:00,,,202982043.36213034,202982043.36213034 
 01/13  12:00:00,,,211109968.90522206,211109968.90522206 
 01/13  13:00:00,,,212388820.16929698,212388820.16929692 
 01/13  14:00:00,,,207728618.52970597,207728618.52970597 
 01/13  15:00:00,,,209691185.6327235,209691185.6327235 
 01/13  16:00:00,,,212115226.61369658,212115226.6136966 
 01/13  17:00:00,,,214317289.81527424,214317289.81527424 
 01/13  18:00:00,,,224865606.78096122,224865606.78096125 
 01/13  19:00:00,,,229736472.88777846,229736472.88777846 
 01/13  20:00:00,,,228847965.47605821,228847965.47605824 
 01/13  21:00:00,,,159560329.95322862,159560329.95322862 
 01/13  22:00:00,,,80600486.15189925,80600486.15189925 
 01/13  23:00:00,,,76108270.3352498,76108270.33524981 
 01/13  24:00:00,,,66847001.53882587,66847001.53882586 
 01/14  01:00:00,,,48144159.34565263,48144159.34565263 
 01/14  02:00:00,,,23278013.895031862,23278013.895031862 
 01/14  03:00:00,,,21990935.46487291,21990935.46487291 
 01/14  04:00:00,,,22018835.70641957,22018835.70641957 
 01/14  05:00:00,,,22117499.387040295,22117499.38704029 
 01/14  06:00:00,,,23161405.354276244,23161405.354276244 
 01/14  07:00:00,,,34337196.03882514,34337196.03882514 
 01/14  08:00:00,,,34841393.10240454,34841393.102404535 
 01/14  09:00:00,,,47467331.12330992,47467331.12330992 
 01/14  10:00:00,,,135821768.0131414,135821768.0131414 
 01/14  11:00:00,,,206602852.62971652,206602852.62971646 
 01/14  12:00:00,,,204888679.39859942,204888679.39859942 
 01/14  13:00:00,,,208164646.21582866,208164646.2158286 
 01/14  14:00:00,,,211113883.3829219,211113883.3829219 
 01/14  15:00:00,,,211429507.63580406,211429507.6358041 
 01/14  16:00:00,,,208157284.8594539,208157284.85945386 
 01/14  17:00:00,,,212081400.58750287,212081400.58750287 
 01/14  18:00:00,,,230326117.3076049,230326117.3076049 
 01/14  19:00:00,,,163489205.41607535,163489205.41607535 
 01/14  20:00:00,,,80624129.94378799,80624129.94378799 
 01/14  21:00:00,,,81086337.03582667,81086337.03582665 
 01/14  22:00:00,,,80266864.47522976,80266864.47522976 
 01/14  23:00:00,,,73635175.62121522,73635175.62121522 
 01/14  24:00:00,,,73802014.6007379,73802014.6007379 
 01/15  01:00:00,,,22606910.42578609,22606910.42578609 
 01/15  02:00:00,,,23948085.510375578,23948085.51037558 
 01/15  03:00:00,,,22570552.886273604,22570552.8862736 
 01/15  04:00:00,,,21457034.799011167,21457034.799011167 
 01/15  05:00:00,,,25417369.52611818,25417369.526118174 
 01/15  06:00:00,,,21791037.929125033,21791037.929125033 
 01/15  07:00:00,,,32960023.93713703,32960023.93713703 
 01/15  08:00:00,,,27425154.042893164,27425154.042893164 
 01/15  09:00:00,,,21317844.635695215,21317844.63569522 
 01/15  10:00:00,,,72084410.74921231,72084410.7492123 
 01/15  11:00:00,,,160834021.97563553,160834021.97563553 
 01/15  12:00:00,,,202106447.08686325,202106447.08686322 
 01/15  13:00:00,,,206026110.22797912,206026110.2279791 
 01/15  14:00:00,,,209337716.50515825,209337716.50515825 
 01/15  15:00:00,,,206461312.48744762,206461312.48744762 
 01/15  16:00:00,,,205195870.34856963,205195870.34856957 
 01/15  17:00:00,,,211122766.07001466,211122766.0700146 
 01/15  18:00:00,,,163623314.45481166,163623314.45481166 
 01/15  19:00:00,,,79169131.58859405,79169131.58859402 
 01/15  20:00:00,,,79486274.3590727,79486274.35907269 
 01/15  21:00:00,,,82841403.49493395,82841403.49493395 
 01/15  22:00:00,,,79854818.51122414,79854818.51122412 
 01/15  23:00:00,,,74604195.8629776,74604195.8629776 
 01/15  24:00:00,,,55834842.52957292,55834842.52957292 
 01/16  01:00:00,,,22867137.54197018,22867137.54197018 
 01/16  02:00:00,,,22168549.047672562,22168549.047672562 
 01/16  03:00:00,,,23423771.165909536,23423771.165909532 
 01/16  04:00:00,,,26140481.611918688,26140481.611918688 
 01/16  05:00:00,,,22668248.934280057,22668248.934280053 
 01/16  06:00:00,,,22697178.115425058,22697178.115425058 
 01/16  07:00:00,,,36258080.90711496,36258080.90711496 
 01/16  08:00:00,,,27074327.63272834,27074327.63272833 
 01/16  09:00:00,,,21681280.60498867,21681280.60498867 
 01/16  10:00:00,,,71274259.52595411,71274259.52595411 
 01/16  11:00:00,,,160853581.33682132,160853581.33682132 
 01/16  12:00:00,,,205933800.92121875,205933800.92121872 
 01/16  13:00:00,,,208343393.40046516,208343393.4004651 
 01/16  14:00:00,,,206448851.5241056,206448851.52410564 
 01/16  15:00:00,,,207260998.33855778,207260998.33855775 
 01/16  16:00:00,,,205956404.57973862,205956404.57973856 
 01/16  17:00:00,,,210050834.10193217,210050834.10193217 
 01/16  18:00:00,,,161297808.7410115,161297808.7410115 
 01/16  19:00:00,,,79217401.43239495,79217401.43239495 
 01/16  20:00:00,,,82968267.23636359,82968267.23636359 
 01/16  21:00:00,,,79820537.43119128,79820537.43119127 
 01/16  22:00:00,,,78877494.79586168,78877494.79586168 
 01/16  23:00:00,,,74911059.20340165,74911059.20340167 
 01/16  24:00:00,,,52878283.820486076,52878283.82048606 
 01/17  01:00:00,,,22324544.579805806,22324544.579805806 
 01/17  02:00:00,,,21466807.648814246,21466807.648814246 
 01/17  03:00:00,,,21402363.639701944,21402363.63970194 
 01/17  04:00:00,,,26435683.064475823,26435683.064475816 
 01/17  05:00:00,,,23879882.71640159,23879882.716401584 
 01/17  06:00:00,,,21335902.913232334,21335902.913232334 
 01/17  07:00:00,,,32423430.117164165,32423430.11716416 
 01/17  08:00:00,,,28682023.095640935,28682023.09564093 
 01/17  09:00:00,,,47936287.527053654,47936287.52705365 
 01/17  10:00:00,,,142127882.7452914,142127882.7452914 
 01/17  11:00:00,,,200951794.31918952,200951794.3191895 
 01/17  12:00:00,,,208751343.3311593,208751343.3311593 
 01/17  13:00:00,,,206069992.09683216,206069992.09683216 
 01/17  14:00:00,,,208931622.11076775,208931622.11076778 
 01/17  15:00:00,,,211376707.10856533,211376707.10856527 
 01/17  16:00:00,,,210991788.07923466,210991788.0792346 
 01/17  17:00:00,,,205767567.17727795,205767567.17727795 
 01/17  18:00:00,,,226786037.1372681,226786037.1372681 
 01/17  19:00:00,,,229333538.5710457,229333538.5710457 
 01/17  20:00:00,,,224257141.63640395,224257141.63640392 
 01/17  21:00:00,,,162772948.37332678,162772948.3733268 
 01/17  22:00:00,,,78870669.71925591,78870669.71925591 
 01/17  23:00:00,,,74472911.09854864,74472911.09854864 
 01/17  24:00:00,,,53932417.316818714,53932417.316818714 
 01/18  01:00:00,,,22596105.99462243,22596105.99462243 
 01/18  02:00:00,,,26496939.551994573,26496939.551994573 
 01/18  03:00:00,,,21449711.733612906,21449711.733612906 
 01/18  04:00:00,,,21582946.649668165,21582946.64966816 
 01/18  05:00:00,,,22999703.673488557,22999703.673488554 
 01/18  06:00:00,,,21997605.400400717,21997605.40040071 
 01/18  07:00:00,,,32997878.996191077,32997878.996191077 
 01/18  08:00:00,,,32317012.49850881,32317012.498508807 
 01/18  09:00:00,,,48379420.31921156,48379420.319211565 
 01/18  10:00:00,,,140599187.556452,140599187.556452 
 01/18  11:00:00,,,204333998.17620566,204333998.17620566 
 01/18  12:00:00,,,206556404.20801097,206556404.20801097 
 01/18  13:00:00,,,211498334.154494,211498334.15449393 
 01/18  14:00:00,,,208794245.16919166,208794245.16919166 
 01/18  15:00:00,,,212670951.11854172,212670951.11854172 
 01/18  16:00:00,,,211333371.70773074,211333371.7077307 
 01/18  17:00:00,,,209707862.5158793,209707862.51587927 
 01/18  18:00:00,,,227926417.02763933,227926417.02763936 
 01/18  19:00:00,,,228759095.65628105,228759095.65628108 
 01/18  20:00:00,,,227609925.49483258,227609925.49483258 
 01/18  21:00:00,,,162175206.216013,162175206.216013 
 01/18  22:00:00,,,79328554.43430185,79328554.43430184 
 01/18  23:00:00,,,75213473.06043938,75213473.06043938 
 01/18  24:00:00,,,56732363.35112733,56732363.35112732 
 01/19  01:00:00,,,21759921.68377011,21759921.68377011 
 01/19  02:00:00,,,22788867.255244665,22788867.25524466 
 01/19  03:00:00,,,22237103.73462073,22237103.734620728 
 01/19  04:00:00,,,24968165.571551852,24968165.571551852 
 01/19  05:00:00,,,23883575.961372573,23883575.96137257 
 01/19  06:00:00,,,22812082.47531332,22812082.475313313 
 01/19  07:00:00,,,33527839.50678274,33527839.506782733 
 01/19  08:00:00,,,34193902.05238405,34193902.05238404 
 01/19  09:00:00,,,48545304.31688827,48545304.316888265 
 01/19  10:00:00,,,138405498.36202347,138405498.36202347 
 01/19  11:00:00,,,203389070.52906263,203389070.52906263 
 01/19  12:00:00,,,209374757.50577587,209374757.50577587 
 01/19  13:00:00,,,211779719.7982449,211779719.79824483 
 01/19  14:00:00,,,212873781.71341848,212873781.71341848 
 01/19  15:00:00,,,210096150.98704767,210096150.98704767 
 01/19  16:00:00,,,208157078.00587022,208157078.00587022 
 01/19  17:00:00,,,211841193.9732991,211841193.973299 
 01/19  18:00:00,,,230415473.5432693,230415473.54326928 
 01/19  19:00:00,,,225266909.5619345,225266909.56193447 
 01/19  20:00:00,,,230110836.0539736,230110836.05397356 
 01/19  21:00:00,,,160108005.854278,160108005.854278 
 01/19  22:00:00,,,79595851.67273417,79595851.67273417 
 01/19  23:00:00,,,81330663.83248605,81330663.83248603 
 01/19  24:00:00,,,53212383.88597977,53212383.88597977 
 01/20  01:00:00,,,36823722.99225732,36823722.99225732 
 01/20  02:00:00,,,22003243.19046672,22003243.190466717 
 01/20  03:00:00,,,22024231.269796453,22024231.26979645 
 01/20  04:00:00,,,22202326.438481122,22202326.438481122 
 01/20  05:00:00,,,23371128.035868492,23371128.03586849 
 01/20  06:00:00,,,26036574.730179958,26036574.730179954 
 01/20  07:00:00,,,35483726.36984832,35483726.36984832 
 01/20  08:00:00,,,29990545.340137053,29990545.34013705 
